meanfreq,sd,median,Q25,Q75,IQR,kurt,sp.ent,sfm,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
[2967.39086422],0.053914197,0.3712627,0.13018620759248734,0.6702181100845337,0.5400319024920464,-0.95955783,0.0019596256,0.0019596256,3005.9282090273196,-14.284118,-488.27078,210.27591,-14.284118,-488.27078,210.27591,698.5467,-14.284118,male
[2773.14698913],0.059033286,0.39171106,0.15823182836174965,0.6745467036962509,0.5163148753345013,-0.9814562,0.001878487,0.001878487,2612.7775930154835,-12.733898,-496.78476,240.712,-12.733898,-496.78476,240.712,737.49677,-12.733898,male
[2700.09442803],0.06478167,0.36631256,0.10505514219403267,0.6573967486619949,0.5523416064679623,-1.0375158,0.0015250989,0.0015250989,2018.9280358768706,-13.882153,-491.32138,216.81476,-13.882153,-491.32138,216.81476,708.1361,-13.882153,male
[2670.69136514],0.06315209,0.3246837,0.11723929084837437,0.6317780017852783,0.514538710936904,-0.7270713,0.0012264753,0.0012264753,2485.315976033048,-13.136301,-509.59152,232.90936,-13.136301,-509.59152,232.90936,742.50085,-13.136301,male
[3500.84048866],0.016262585,0.58709747,0.40998508036136627,0.7830387502908707,0.3730536699295044,-0.6259356,0.0047157696,0.0047157696,2954.836773192402,-17.68195,-511.423,255.48978,-17.68195,-511.423,255.48978,766.9128,-17.68195,male
[3170.90028249],0.04635027,0.47405386,0.20411638543009758,0.723882794380188,0.5197664089500904,-1.101057,0.0031597205,0.0031597205,3115.4866235372556,-14.777012,-505.79153,235.1326,-14.777012,-505.79153,235.1326,740.92413,-14.777012,male
[2513.40570635],0.07269644,0.32196015,0.0901495423167944,0.6570625156164169,0.5669129732996225,-1.0527209,0.0009948744,0.0009948744,2030.7905736021257,-12.649158,-518.0344,232.07306,-12.649158,-518.0344,232.07306,750.1075,-12.649158,male
[2725.4768608],0.05605486,0.35237098,0.12256256677210331,0.6597298681735992,0.5371673014014959,-1.0160156,0.0016420961,0.0016420961,3023.2772444262314,-13.408866,-507.20392,234.126,-13.408866,-507.20392,234.126,741.32996,-13.408866,male
[2586.39974327],0.053760946,0.3337035,0.13574348390102386,0.6410885155200958,0.505345031619072,-0.8924589,0.0011914684,0.0011914684,2433.2814378954536,-13.187383,-481.23135,232.9775,-13.187383,-481.23135,232.9775,714.20886,-13.187383,male
[2997.19835409],0.046535306,0.5023975,0.21124587208032608,0.7289259433746338,0.5176800712943077,-1.0763961,0.0028267815,0.0028267815,2711.091811238221,-15.600568,-502.4949,234.27252,-15.600568,-502.4949,234.27252,736.76746,-15.600568,male
[2711.21377639],0.0563509,0.39369988,0.1752873957157135,0.6572255343198776,0.4819381386041641,-0.9080365,0.0023217234,0.0023217234,2718.5949082061024,-12.896312,-502.21167,256.82468,-12.896312,-502.21167,256.82468,759.0364,-12.896312,male
[2790.06891433],0.06174099,0.39859146,0.17752115055918694,0.6786326915025711,0.5011115409433842,-0.99453896,0.002876913,0.002876913,2685.9680075247443,-12.830576,-505.16373,239.30893,-12.830576,-505.16373,239.30893,744.47266,-12.830576,male
[2875.27676201],0.06042591,0.38525867,0.15252043679356575,0.6647914350032806,0.5122709982097149,-0.9193799,0.0020346772,0.0020346772,2750.164861300561,-13.106105,-507.34415,246.0575,-13.106105,-507.34415,246.0575,753.4016,-13.106105,male
[2825.97598831],0.050071098,0.39147455,0.1642746366560459,0.6699541956186295,0.5056795589625835,-1.0085253,0.0018366495,0.0018366495,2564.5674816020796,-14.892423,-505.80594,240.38138,-14.892423,-505.80594,240.38138,746.1873,-14.892423,male
[3262.23516722],0.046862256,0.45864895,0.19451360777020454,0.7156834602355957,0.5211698524653912,-1.0734972,0.0034757368,0.0034757368,3193.243983231921,-14.733435,-507.42075,225.51945,-14.733435,-507.42075,225.51945,732.9402,-14.733435,male
[3071.31447391],0.048094094,0.4320882,0.17948739603161812,0.6996489316225052,0.5201615355908871,-1.0221105,0.002577608,0.002577608,2872.6925958943784,-14.880882,-513.42456,225.33629,-14.880882,-513.42456,225.33629,738.76086,-14.880882,male
[3138.36364868],0.038698416,0.4497046,0.21371804177761078,0.7148118019104004,0.5010937601327896,-1.0657085,0.0021858942,0.0021858942,2667.318062109027,-15.431078,-502.48523,241.17996,-15.431078,-502.48523,241.17996,743.66516,-15.431078,male
